PCA;id;foto;localidade;ordemives;sp;sp_ives;biome;sex;CS;LogCS;lat;long;factraj;facgp;clades;fac;pch
1;0;1005- MN 23233 Sapajus xanthosternos (F);BA - Belmonte;2;Sapajus_xanthosternos;Sapajus_xanthosternos;Forest;F;9.3574;2.2362;-15.8202;-39.0976;0;bot0;bot;AF;8
2;1;1006- MN 23240 Sapajus libidinosus (F);BA - Faz. Sucurui, itajuípe;6;Sapajus_libidinosus;Sapajus_libidinosus;Savanna;F;8.7935;2.1740;-14.6672;-39.4301;1;top1;top;SV_lib;25
3;2;356 - MG 21764 Cebus apella;RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira;5;Sapajus_apella;Sapajus_apella;Forest;F;10.4205;2.3438;-8.7525;-63.4557;0;top0;top;AM;15
4;3;357 - MG 21765 Cebus apella;RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira;5;Sapajus_apella;Sapajus_apella_2;Forest;F;9.7030;2.2724;-8.7525;-63.4557;0;top0;top;AM;15
5;4;358 - MG 21766 Cebus apella;RO - UHE de Samuel, rio Jamari, afl. dir. rio Madeira;5;Sapajus_apella;Sapajus_apella_3;Forest;M;10.6796;2.3683;-8.7525;-63.4557;0;top0;top;AM;15
6;5;359 - MG 26521 Cebus apella;PA - Oriximiná, Rio Saracazinho;5;Sapajus_apella;Sapajus_apella_4;Forest;F;9.4246;2.2433;-1.4779;-56.3749;0;top0;top;AM;15
7;6;360 - MG 21494 Cebus apella;PA - Oriximiná, Cachoeira Porteira;5;Sapajus_apella;Sapajus_apella_5;Forest;M;11.6153;2.4523;-1.0917;-57.0386;0;top0;top;AM;15
8;7;361 - MG 21497 Cebus apella;PA - Oriximiná, Cachoeira Porteira;5;Sapajus_apella;Sapajus_apella_6;Forest;M;11.2716;2.4223;-1.0917;-57.0386;0;top0;top;AM;15
9;8;812 - MUZUSP 6317 Sapajus cay (M);MT - Rio Aricá, Fazenda Arigá;3;Sapajus_cay;Sapajus_cay;Savanna;M;8.8266;2.1778;-14.1840;-56.6203;1;bot1;bot;SV_cay;17
10;9;813 - MUZUSP 6319 Sapajus cay (M);MT - Rio Aricá Fazenda Arigá;3;Sapajus_cay;Sapajus_cay_2;Savanna;M;9.1614;2.2150;-14.1840;-56.6203;1;bot1;bot;SV_cay;17
11;10;814 - MUZUSP 6324 Sapajus cay (F);MT - Cáceres;3;Sapajus_cay;Sapajus_cay_3;Savanna;F;8.8798;2.1838;-16.2910;-57.9778;1;bot1;bot;SV_cay;17
12;12;816 - MUZUSP 2582 Sapajus xanthosternos (M);BA - Senhor do Bonfim;2;Sapajus_xanthosternos;Sapajus_xanthosternos_2;Forest;M;9.2358;2.2231;-10.4749;-40.1362;0;bot0;bot;AF;8
13;13;817 - MUZUSP 2583 Sapajus xanthosternos (M);BA - Senhor do Bonfim;2;Sapajus_xanthosternos;Sapajus_xanthosternos_3;Forest;M;9.5214;2.2535;-10.4749;-40.1362;0;bot0;bot;AF;8
14;14;818 - MUZUSP 2585 Sapajus xanthosternos (F);BA - Senhor do Bonfim;2;Sapajus_xanthosternos;Sapajus_xanthosternos_4;Forest;F;8.9576;2.1925;-10.4749;-40.1362;0;bot0;bot;AF;8
15;15;819 - MUZUSP 2586 Sapajus xanthosternos (M);BA - Senhor do Bonfim;2;Sapajus_xanthosternos;Sapajus_xanthosternos_5;Forest;M;11.0512;2.4025;-10.4749;-40.1362;0;bot0;bot;AF;8
16;16;820 - MUZUSP 5915 Sapajus robustus (M);MG - Baixo Rio Suaçui;4;Sapajus_robustus;Sapajus_robustus;Forest;M;10.0176;2.3043;-18.9135;-42.0949;0;bot0;bot;AF;18
17;17;821 - MUZUSP 5916 Sapajus robustus (M);MG - Baixo Rio Suaçui;4;Sapajus_robustus;Sapajus_robustus_2;Forest;M;10.0796;2.3105;-18.9135;-42.0949;0;bot0;bot;AF;18
18;18;822 - MUZUSP 5919 Sapajus robustus (F);MG - Baixo Rio Suaçui;4;Sapajus_robustus;Sapajus_robustus_3;Forest;F;9.5113;2.2525;-18.9135;-42.0949;0;bot0;bot;AF;18
19;19;823 - MUZUSP 5920 Sapajus robustus (F);MG - Baixo Rio Suaçui;4;Sapajus_robustus;Sapajus_robustus_4;Forest;F;9.6873;2.2708;-18.9135;-42.0949;0;bot0;bot;AF;18
20;21;825 - MUZUSP 11095 Sapajus libidinosus (F);GO - Anicuns - Fazenda Agua Clara;6;Sapajus_libidinosus;Sapajus_libidinosus_2;Savanna;F;9.2805;2.2279;-16.3553;-50.0211;1;top1;top;SV_lib;25
21;22;826 - MUZUSP 11096 Sapajus libidinosus (M);GO - Anicuns - Fazenda Agua Clara;6;Sapajus_libidinosus;Sapajus_libidinosus_3;Savanna;M;10.0527;2.3078;-16.3553;-50.0211;1;top1;top;SV_lib;25
22;23;827 - MUZUSP 11097 Sapajus libidinosus (M);GO - Anicuns - Fazenda Agua Clara;6;Sapajus_libidinosus;Sapajus_libidinosus_4;Savanna;M;10.6838;2.3687;-16.3553;-50.0211;1;top1;top;SV_lib;25
23;24;828 - MUZUSP 5321 Sapajus macrocephalus (M);AM - Eirunepé, Santa Cruz, Rio Eiru;5;Sapajus_apella;Sapajus_apella_7;Forest;M;11.6328;2.4538;-7.2762;-70.3004;0;top0;top;AM;15
24;25;829 - MUZUSP 5318 Sapajus macrocephalus (F);AM - Eirunepé, Santa Cruz, Rio Eiru;5;Sapajus_apella;Sapajus_apella_8;Forest;F;10.3756;2.3395;-7.2762;-70.3004;0;top0;top;AM;15
25;26;830 - MUZUSP 779 Sapajus macrocephalus (M);AM - Rio Juruá;5;Sapajus_apella;Sapajus_apella_9;Forest;M;11.6862;2.4584;-2.6336;-65.8203;0;top0;top;AM;15
26;27;831 - MUZUSP 10542 Sapajus macrocephalus (F);AM - Eirunepé;5;Sapajus_apella;Sapajus_apella_10;Forest;F;9.2623;2.2260;-6.6611;-69.8671;0;top0;top;AM;15
27;28;832 - MUZUSP 19622 Sapajus nigritus (F);SP - São Vicente, Estação Engenheiro Ferraz;1;Sapajus_nigritus;Sapajus_nigritus;Forest;F;9.1200;2.2105;-23.9759;-46.6185;0;bot0;bot;AF;19
28;29;833 - MUZUSP 6015 Sapajus nigritus (F);SP - Porto Cabral, Rio Paraná;1;Sapajus_nigritus;Sapajus_nigritus_2;Forest;F;9.6491;2.2669;-24.5105;-47.7003;0;bot0;bot;AF;19
29;30;834 - MUZUSP 6887 Sapajus nigritus (M);SP - Boracéia;1;Sapajus_nigritus;Sapajus_nigritus_3;Forest;M;11.5849;2.4497;-22.1219;-48.8236;0;bot0;bot;AF;19
30;31;835 - MUZUSP 19620 Sapajus nigritus (M);SP - São Vicente, Estação Engenheiro Ferraz;1;Sapajus_nigritus;Sapajus_nigritus_4;Forest;M;11.8650;2.4736;-23.9759;-46.6185;0;bot0;bot;AF;19
31;32;BUBADUÉ3035_Sapajus_nigritus_MN_5676_Fêmea_mld;ES - Santa Teresa. Colonia do Milanez, 25 de julho;1;Sapajus_nigritus;Sapajus_nigritus_5;Forest;F;8.7897;2.1736;-19.8457;-40.5520;0;bot0;bot;AF;19
32;33;BUBADUÉ3036_Sapajus_nigritus_MN_5719_Fêmea_mld;ES - Santa Teresa, São João de Petropolis - Mata da Escola;1;Sapajus_nigritus;Sapajus_nigritus_6;Forest;F;9.3686;2.2374;-19.7982;-40.6828;0;bot0;bot;AF;19
33;34;BUBADUÉ3037_Sapajus_nigritus_MN_5724_Fêmea_mld;ES - Santa Teresa, São João de Petropolis - Mata da Escola;1;Sapajus_nigritus;Sapajus_nigritus_7;Forest;F;9.4986;2.2511;-19.7982;-40.6828;0;bot0;bot;AF;19
34;35;BUBADUÉ3038_Sapajus_nigritus_MN_5712_Fêmea_mld;ES - Santa Teresa, São João de Petropolis - Mata da Escola;1;Sapajus_nigritus;Sapajus_nigritus_8;Forest;F;9.0854;2.2067;-19.7982;-40.6828;0;bot0;bot;AF;19
35;36;BUBADUÉ3039_Sapajus_nigritus_MN_5731_Fêmea_mld;ES - Santa Teresa, São João de Petropolis - Mata da Escola;1;Sapajus_nigritus;Sapajus_nigritus_9;Forest;F;9.1919;2.2183;-19.7982;-40.6828;0;bot0;bot;AF;19
36;37;BUBADUÉ3040_Sapajus_nigritus_MN_5684_Macho_mld;ES - Santa Teresa, São João de Petropolis - Mata da Escola;1;Sapajus_nigritus;Sapajus_nigritus_10;Forest;M;10.3963;2.3414;-19.7982;-40.6828;0;bot0;bot;AF;19
